stmt_id,date,amount,reference_number,narration,type
S00040,2026-07-01,59015.32,pay_eIdZdyzKHvzSDk,UPI/pay_eIdZdyzKHvzSDk/BANERJEEANDSONS/PAYMENT,CREDIT
S00074,2026-07-01,10395.83,pay_61oivFtv8bKfXW,IMPS/pay_61oivFtv8bKfXW/PRADHANLTD,CREDIT
S00079,2026-07-01,4192.43,pay_Hlt0h92N9RIBJR,RAZORPAY SETTLEMENT/pay_Hlt0h92N9RIBJR/DORAINC,CREDIT
S00191,2026-07-01,1999.87,pay_JJll5Kk43ESLVJ,RAZORPAY SETTLEMENT/pay_JJll5Kk43ESLVJ/SAINI-GALA,CREDIT
S00215,2026-07-01,35222.91,pay_CAF3JcXsvD7WAh,"UPI/pay_CAF3JcXsvD7WAh/KAPOOR,MITRAANDKUL/PAYMENT",CREDIT
S00241,2026-07-01,40163.15,pay_kRT2uzdEq7LHjk,RAZORPAY SETTLEMENT/pay_kRT2uzdEq7LHjk/SAHNIGROUP,CREDIT
S00340,2026-07-01,11076.2,pay_G0poOcorQ0q6GR,"RAZORPAY SETTLEMENT/pay_G0poOcorQ0q6GR/BRAHMBHATT,RAMACHA",CREDIT
S00398,2026-07-01,4159.78,pay_NMvKgtfZ1FkQQK,"MERCHANT CR pay_NMvKgtfZ1FkQQK AMBLE,RAMASWAMYAND CARD",CREDIT
S00013,2026-07-02,4591.43,pay_C28h6kMA3Txs1n,MERCHANT CR pay_C28h6kMA3Txs1n WALIINC NEFT,CREDIT
S00143,2026-07-02,3696.33,pay_Zw6TTRIMugCllC,NEFT-KKBK-pay_Zw6TTRIMugCllC-SHERELLC,CREDIT
S00184,2026-07-02,5582.9,pay_MikSiujYLvGUkn,UPI/pay_MikSiujYLvGUkn/LALLA-BALI/PAYMENT,CREDIT
S00192,2026-07-02,21302.95,pay_LCnDEXRD45mtVs,NEFT-HDFC-pay_LCnDEXRD45mtVs-SODHI-KASHYAP,CREDIT
S00032,2026-07-03,4053.14,pay_ZJuk6LemEsB3FR,RAZORPAY SETTLEMENT/pay_ZJuk6LemEsB3FR/DUBE-MALLICK,CREDIT
S00080,2026-07-03,10140.58,pay_wZTQ3HBMbof5Xa,"RAZORPAY SETTLEMENT/pay_wZTQ3HBMbof5Xa/RAO,MUKHERJEEANDME",CREDIT
S00138,2026-07-03,14779.95,pay_7KM82mXh6O9caG,NEFT-YESB-pay_7KM82mXh6O9caG-SUBRAMANIAM-RAMAKR,CREDIT
S00172,2026-07-03,1560.44,pay_gZdItYy8MY56mO,RAZORPAY SETTLEMENT/pay_gZdItYy8MY56mO/GOURLLC,CREDIT
S00230,2026-07-03,24287.73,pay_1PR9OBFYKAoy0v,"IMPS/pay_1PR9OBFYKAoy0v/MURTY,MINHASANDGOE",CREDIT
S00303,2026-07-03,10805.71,setl_dw8Nq36uvr4B3g,RAZORPAY PAYOUT setl_dw8Nq36uvr4B3g PART 1 OF 2 KAPURLLC,DEBIT
S00313,2026-07-03,120228.24,pay_FvnhoewzQuZ7f1,UPI/pay_FvnhoewzQuZ7f1/HAYREPLC/PAYMENT,CREDIT
S00331,2026-07-03,5037.16,pay_M30s9uPTjUHFQ3,UPI/pay_M30s9uPTjUHFQ3/KALITA-BAINS/PAYMENT,CREDIT
S00373,2026-07-03,3283.53,pay_Bt3PB9F3a0smzq,RAZORPAY SETTLEMENT/pay_Bt3PB9F3a0smzq/SHERE-DAS,CREDIT
S00017,2026-07-04,13035.6,pay_4Nfp3bcex7x2tP,"IMPS/pay_4Nfp3bcex7x2tP/GABA,PANDITANDSETH",CREDIT
S00055,2026-07-04,8308.77,pay_QDSYxNWr2NOKrv,IMPS/pay_QDSYxNWr2NOKrv/MANIPLC,CREDIT
S00070,2026-07-04,20265.46,pay_UZQLl7aWtgMh92,UPI/pay_UZQLl7aWtgMh92/MORAR-TANDON/PAYMENT,CREDIT
S00123,2026-07-04,616.49,pay_lrrtn3S20oEwF0,"NEFT-YESB-pay_lrrtn3S20oEwF0-CHANA,OAKANDLALL",CREDIT
S00146,2026-07-04,7657.22,pay_bajcwaVGEYxKEU,NEFT-ICIC-pay_bajcwaVGEYxKEU-RAVELLTD,CREDIT
S00257,2026-07-04,6681.59,pay_96IoZ6CQvRvwAn,IMPS/pay_96IoZ6CQvRvwAn/SODHIANDSONS,CREDIT
S00304,2026-07-04,15198.78,setl_MOXZGfeoHEFu6m,RAZORPAY PAYOUT setl_MOXZGfeoHEFu6m PART 2 OF 2 KAPURLLC,DEBIT
S00357,2026-07-04,6444.08,pay_k0rT5JjJXcW7Fs,NEFT-KKBK-pay_k0rT5JjJXcW7Fs-MEMONLTD,CREDIT
S00019,2026-07-05,-2368.17,chg_QtzIpf2bCRy2jr,BANK CHARGES chg_QtzIpf2bCRy2jr MONTHLY MAINTENANCE,DEBIT
S00023,2026-07-05,15032.38,pay_TNiUXgeaa1pvUS,"RAZORPAY SETTLEMENT/pay_TNiUXgeaa1pvUS/BEDI,DUGARANDSARKA",CREDIT
S00054,2026-07-05,4017.75,pay_Pw6d2mjC1IAAYz,NEFT-YESB-pay_Pw6d2mjC1IAAYz-TRIVEDIINC,CREDIT
S00088,2026-07-05,15839.33,pay_XJQrWoQ9dKXNwG,"IMPS/pay_XJQrWoQ9dKXNwG/SAINI,KUMERANDPAND",CREDIT
S00131,2026-07-05,1485.13,pay_hb9L8ExCInr5C4,"MERCHANT CR pay_hb9L8ExCInr5C4 KHALSA,WAGLEANDMAN WALLET",CREDIT
S00278,2026-07-05,6178.6,pay_WpRAah72GebFn6,"NEFT-ICIC-pay_WpRAah72GebFn6-BAHRI,CHANDANDMALL",CREDIT
S00307,2026-07-05,10055.43,setl_1azePx3rXBawWF,RAZORPAY SETTLEMENT setl_1azePx3rXBawWF BATCH OF 3 RANGANATHANPLC,CREDIT
S00353,2026-07-05,17518.48,pay_6IsXmPVG5JuD1c,UPI/pay_6IsXmPVG5JuD1c/DESAI-SHANKAR/PAYMENT,CREDIT
S00014,2026-07-06,7775.96,pay_FdcRA8pBa0sQtC,RAZORPAY SETTLEMENT/pay_FdcRA8pBa0sQtC/SANGHVI-RAMAKRISHN,CREDIT
S00024,2026-07-06,10814.7,pay_ymcyQFun6rIMbs,MERCHANT CR pay_ymcyQFun6rIMbs RANA-NATARAJAN IMPS,CREDIT
S00077,2026-07-06,4402.89,pay_Bs7XQHLxF3yVkU,RAZORPAY SETTLEMENT/pay_Bs7XQHLxF3yVkU/KUNDA-MUNI,CREDIT
S00089,2026-07-06,5424.24,pay_FWvcwDR5NmzroD,"IMPS/pay_FWvcwDR5NmzroD/CHAUDRY,GOKHALEAND",CREDIT
S00090,2026-07-06,14898.9,pay_Eqlxn3Kl6PfZ01,IMPS/pay_Eqlxn3Kl6PfZ01/SABHARWALPLC,CREDIT
S00126,2026-07-06,3576.9,pay_yxFb3MwLk2y3Jd,IMPS/pay_yxFb3MwLk2y3Jd/SAMAGROUP,CREDIT
S00150,2026-07-06,3312.73,pay_8saBGwzEsz3B7s,"UPI/pay_8saBGwzEsz3B7s/HANS,BHARDWAJANDZA/PAYMENT",CREDIT
S00185,2026-07-06,6128.29,pay_6J2sW3ht8F3sZ1,NEFT-SBIN-pay_6J2sW3ht8F3sZ1-UPPALGROUP,CREDIT
S00216,2026-07-06,4986.87,pay_zsjDnE0Z5eSyfj,NEFT-ICIC-pay_zsjDnE0Z5eSyfj-BADALINC,CREDIT
S00238,2026-07-06,3360.72,pay_9ZiW5FG1EAbCkx,"UPI/pay_9ZiW5FG1EAbCkx/MUTTI,CHANDRAANDBH/PAYMENT",CREDIT
S00260,2026-07-06,19002.99,pay_u08DaU4xXKCM5k,UPI/pay_u08DaU4xXKCM5k/KUMER-ARORA/PAYMENT,CREDIT
S00277,2026-07-06,4230.19,pay_M006OfY,"RAZORPAY SETTLEMENT/pay_M006OfY/GOLLA,SUBRAMANIANA",CREDIT
S00318,2026-07-06,25183.69,setl_cQAyTVGR30wEzy,RAZORPAY PAYOUT setl_cQAyTVGR30wEzy PART 1 OF 2 PANDYALTD,DEBIT
S00336,2026-07-06,1770.86,pay_ATxmU0wmKSV4WJ,"UPI/pay_ATxmU0wmKSV4WJ/RAJU,SHANKERANDAGA/PAYMENT",CREDIT
S00390,2026-07-06,4066.16,pay_CQPR521TjnU0rM,IMPS/pay_CQPR521TjnU0rM/KRISHGROUP,CREDIT
S00021,2026-07-07,10376.68,pay_V456N793Zr6iuP,UPI/pay_V456N793Zr6iuP/TIWARI-SARAN/PAYMENT,CREDIT
S00226,2026-07-07,14067.31,pay_YHVB0Fl6Vbp8kD,MERCHANT CR pay_YHVB0Fl6Vbp8kD IYENGARGROUP NETBANKING,CREDIT
S00234,2026-07-07,9998.46,pay_nK0wvg9DpVSYnB,MERCHANT CR pay_nK0wvg9DpVSYnB RAU-LANKA IMPS,CREDIT
S00242,2026-07-07,4031.99,pay_AeSHIwaJaQqSeL,NEFT-HDFC-pay_AeSHIwaJaQqSeL-RAJANANDSONS,CREDIT
S00319,2026-07-07,25922.18,setl_A6pIb7W5WiyeT3,RAZORPAY PAYOUT setl_A6pIb7W5WiyeT3 PART 2 OF 2 PANDYALTD,DEBIT
S00379,2026-07-07,1338.0,pay_AmbXCI60ofg4zO,NEFT-YESB-pay_AmbXCI60ofg4zO-TIWARIINC,CREDIT
S00387,2026-07-07,10147.15,pay_iluSZA5YyXywVN,RAZORPAY SETTLEMENT/pay_iluSZA5YyXywVN/LATALLC,CREDIT
S00018,2026-07-08,5859.42,pay_vJ0JbcGbD51Hkk,IMPS/pay_vJ0JbcGbD51Hkk/PADMANABHAN-KUMAR,CREDIT
S00111,2026-07-08,2849.75,pay_2XPYQEGpvlsdS1,"RAZORPAY SETTLEMENT/pay_2XPYQEGpvlsdS1/BALAY,BASSIANDREDD",CREDIT
S00122,2026-07-08,1664.84,pay_3QbCvpAMv2RX6I,"UPI/pay_3QbCvpAMv2RX6I/UPPAL,MUKHERJEEAND/PAYMENT",CREDIT
S00142,2026-07-08,-2334.19,chg_s2sj7YsSqrX0tV,BANK CHARGES chg_s2sj7YsSqrX0tV MONTHLY MAINTENANCE,DEBIT
S00169,2026-07-08,8098.05,pay_idVMZ7IpqRud04,"RAZORPAY SETTLEMENT/pay_idVMZ7IpqRud04/CHOPRA,BARALANDVAR",CREDIT
S00180,2026-07-08,1911.54,pay_7SGEYee6L83S4r,"MERCHANT CR pay_7SGEYee6L83S4r TELLA,SETHIANDCHAN IMPS",CREDIT
S00286,2026-07-08,9589.64,pay_gzSerDpipAzRJY,RAZORPAY SETTLEMENT/pay_gzSerDpipAzRJY/LALLA-MANI,CREDIT
S00328,2026-07-08,3949.86,pay_iACCvPoFZe6omW,IMPS/pay_iACCvPoFZe6omW/NAZARETHLLC,CREDIT
S00355,2026-07-08,15741.96,pay_T4NXfoMYvrlmh0,IMPS/pay_T4NXfoMYvrlmh0/MANDALINC,CREDIT
