stmt_id,date,amount,reference_number,narration,type
S00080,2026-07-01,2131.2,pay_G4GVUffPC1C5Eh,"NEFT-KKBK-pay_G4GVUffPC1C5Eh-ANDRA,KHAREANDMAHA",CREDIT
S00353,2026-07-01,7807.34,pay_Nh7Nzr7HLAVAnJ,"IMPS/pay_Nh7Nzr7HLAVAnJ/IYENGAR,MINHASANDC",CREDIT
S00362,2026-07-01,2272.73,pay_4aVtx1LgOQO3Va,"RAZORPAY SETTLEMENT/pay_4aVtx1LgOQO3Va/DAR,VISWANATHANAND",CREDIT
S00402,2026-07-01,1729.86,pay_XUWhVvksYvmrlf,NEFT-KKBK-pay_XUWhVvksYvmrlf-DHILLONLTD,CREDIT
S00054,2026-07-02,14864.6,pay_jJr8Ob1yV7Zvm6,NEFT-YESB-pay_jJr8Ob1yV7Zvm6-LALLPLC,CREDIT
S00120,2026-07-02,7132.81,pay_AMKWsVuv5mBMU1,RAZORPAY SETTLEMENT/pay_AMKWsVuv5mBMU1/MANGALLTD,CREDIT
S00176,2026-07-02,25798.59,pay_J01tnn2ky8lxuZ,RAZORPAY SETTLEMENT/pay_J01tnn2ky8lxuZ/GARDE-SARMA,CREDIT
S00335,2026-07-02,1181.67,pay_1CqoZvMoU8ONMj,NEFT-SBIN-pay_1CqoZvMoU8ONMj-KANT-REGE,CREDIT
S00340,2026-07-02,38539.5,pay_3RKqbxaSiDXL5X,"UPI/pay_3RKqbxaSiDXL5X/SATHE,BAHLANDJHA/PAYMENT",CREDIT
S00410,2026-07-02,42168.86,pay_lbXBXf0Lu3PUbw,MERCHANT CR pay_lbXBXf0Lu3PUbw GUHALLC NEFT,CREDIT
S00133,2026-07-03,2643.13,pay_unr0ssZhkobWF1,IMPS/pay_unr0ssZhkobWF1/JAGGI-WALLA,CREDIT
S00181,2026-07-03,1011.91,pay_UmqCD0ezX0wZhO,NEFT-HDFC-pay_UmqCD0ezX0wZhO-OZALTD,CREDIT
S00188,2026-07-03,256.75,pay_cgy1GMmsYJH5om,UPI/pay_cgy1GMmsYJH5om/UPADHYAYINC/PAYMENT,CREDIT
S00245,2026-07-03,2807.55,setl_3TIDANuxmeDZXl,RAZORPAY SETTLEMENT setl_3TIDANuxmeDZXl BATCH OF 2 KALA-RAVAL,CREDIT
S00298,2026-07-03,4772.86,qbi03BlJ5Vo,"IMPS/qbi03BlJ5Vo/COMAR,UPPALANDSRID",CREDIT
S00310,2026-07-03,17672.54,setl_UXBWvSfyqmO44s,"RAZORPAY PAYOUT setl_UXBWvSfyqmO44s PART 1 OF 2 GOKHALE,SANKAR",DEBIT
S00339,2026-07-03,11187.95,setl_9Y7QZuKQmRFKNy,RAZORPAY SETTLEMENT setl_9Y7QZuKQmRFKNy BATCH OF 3 BHATTACHARYYA-,CREDIT
S00393,2026-07-03,33759.22,pay_DlRWusEqhedGlH,MERCHANT CR pay_DlRWusEqhedGlH NADIGLLC NEFT,CREDIT
S00005,2026-07-04,2110.99,pay_FtmCftN4WOKz8b,UPI/pay_FtmCftN4WOKz8b/BAJWA-SINGH/PAYMENT,CREDIT
S00049,2026-07-04,976.16,pay_FppyT9MPzLfd5T,"IMPS/pay_FppyT9MPzLfd5T/SARMA,GREWALANDMAH",CREDIT
S00152,2026-07-04,2217.04,pay_d8ffYxZJ93MvQ9,IMPS/pay_d8ffYxZJ93MvQ9/BHARGAVA-DUBEY,CREDIT
